代號,名稱,按盤價,成交金額,市值,市盈率,股息率
222,閩信集團,2.4000,,1430000000.0,11.98,3.33
223,易生活控股,0.128,153460.0,208300000.0,,
224,建生國際,0.5300,,611640000.0,,
225,博富臨置業,5.2900,,582840000.0,,6.81
227,第一上海,0.219,35760.0,479750000.0,,
228,中能控股,1.4300,241960.0,652360000.0,16.98,
229,利民實業,0.9100,,456200000.0,9.83,7.69
232,大陸航空科技控股,0.192,13110000.0,1780000000.0,19.01,2.60
234,新世紀集團,0.0300,18840.0,173410000.0,,
235,中策資本控股,0.026,167940.0,530010000.0,,
236,香港生力啤,1.1900,,444540000.0,5.84,5.04
237,安全貨倉,2.270,76500.0,919350000.0,,3.52
239,白花油,2.5000,156050.0,779100000.0,8.53,7.60
240,利基控股,1.840,606200.0,2280000000.0,5.05,9.24
241,阿里健康,4.620,623410000.0,74720000000.0,48.38,
242,信德集團,0.620,305860.0,1870000000.0,,
243,QPL INT'L,0.6200,2430000.0,214820000.0,,
244,先施,0.3050,102060.0,400750000.0,,
245,中薇金融,1.050,2980000.0,1950000000.0,15.72,
247,TST PROPERTIES,19.3500,,43510000000.0,17.87,3.00
248,香港通訊國際控股,0.270,10800.0,63040000.0,,
251,爪哇控股,1.380,,830920000.0,,3.62
252,華信地產財務,1.6000,,360670000.0,,1.88
253,順豪控股,0.670,9380.0,203920000.0,,
254,國家聯合資源,0.670,159800.0,377720000.0,,
255,龍記集團,1.570,32280.0,995390000.0,,12.74
256,冠城鐘錶珠寶,0.091,676830.0,396020000.0,,
257,光大環境,5.630,53890000.0,34580000000.0,8.81,4.80
258,湯臣集團,2.4100,593860.0,5440000000.0,6.75,5.60
259,億都（國際控股）,3.480,707400.0,3240000000.0,1.16,53.16
261,ＧＢＡ集團,0.236,1590000.0,67210000.0,,
262,迪臣發展國際,0.086,30970.0,126140000.0,,
264,中聯發展控股,1.200,2820000.0,569580000.0,,
265,港譽智慧城市服務,1.550,64120.00000000001,400580000.0,21.56,
266,天德地產,1.9400,294780.0,920970000.0,,6.70
267,中信股份,13.750,374580000.0,399990000000.0,6.08,4.73
268,金蝶國際,8.990,388980000.0,31900000000.0,303.72,
269,中國資源交通,0.0100,650.00,106440000.0,,
270,粵海投資,8.160,66670000.0,53340000000.0,11.46,5.67
271,亞證地產,0.1770,,219590000.0,,
272,瑞安房地產,0.550,1610000.0,4410000000.0,,
276,蒙古能源,0.540,1330000.0,101580000.0,,
277,太興置業,1.5500,,429710000.0,,1.10
279,裕承科金,0.495,288470.0,690780000.0,,
280,景福集團,0.530,560680.0,481930000.0,5.46,5.66
285,比亞迪電子,28.420,406470000.0,64030000000.0,16.24,0.61
287,永發置業,4.3600,,174400000.0,,3.21
288,萬洲國際,9.940,479260000.0,127530000000.0,10.43,9.15
289,WING ON CO,15.150,1010000.0,4360000000.0,,7.72
290,國富量子,8.440,165570000.0,86960000000.0,,
291,華潤啤酒,26.160,158980000.0,84860000000.0,22.38,4.34
293,國泰航空,12.660,374400000.0,76980000000.0,7.65,6.64
294,長江製衣,0.8300,,171600000.0,,2.41
295,江山控股,0.023,575.00,344180000.0,,
296,英皇娛樂酒店,0.230,28730.0,273350000.0,,
297,中化化肥,1.590,65430000.00000001,11160000000.0,7.91,4.36
298,莊士中國,0.118,119170.0,276950000.0,,
300,美的集團,85.300,2020000000.0,55510000000.0,13.13,5.63
301,三和精化,2.1500,8600.0,1010000000.0,,
302,中手游,0.2900,567270.0,904320000.0,,
303,VTECH HOLDINGS,62.450,57190000.0,15830000000.0,12.95,7.65
305,五菱汽車,0.475,1020000.0,1560000000.0,17.66,1.26
306,冠忠巴士集團,2.440,92580.0,1160000000.0,9.15,5.74
308,香港中旅,1.140,4670000.0,6310000000.0,,0.88
309,新華通訊頻媒,0.037,10700000.0,71440000.0,,
310,嘉進投資國際,0.1800,29680.0,111800000.0,,
311,聯泰控股,0.242,7700.0,250250000.0,7.06,
312,歲寶百貨,0.0560,6370.0,139720000.0,,
313,裕田中國,0.073,,85170000.0,,
314,思派健康,1.410,1450000.0,1030000000.0,,
315,數碼通電訊,5.210,4840000.0,5730000000.0,11.99,6.14
316,東方海外國際,141.000,182460000.0,93110000000.0,7.89,6.31
317,中船防務,15.730,55530000.0,9310000000.0,19.70,1.52
318,黃河實業,0.800,830350.0,230600000.0,20.57,
320,金寶通,0.4800,29760.0,404410000.0,4.32,11.25
321,德永佳集團,1.250,1010000.0,1720000000.0,14.88,8.00
322,康師傅控股,12.350,160480000.0,69610000000.0,13.75,7.27
323,馬鞍山鋼鐵股份,2.510,16810000.0,4340000000.0,,
325,布魯可,63.850,26720000.0,15860000000.0,21.99,
326,中國星集團－二千,9.150,24980000.0,22220000000.0,,
327,百富環球,4.140,7310000.0,4390000000.0,5.83,6.04
328,ALCO HOLD-NEW,0.8000,1420000.0,45820000.0,,
329,東建國際,0.275,51800.0,412430000.0,,
330,思捷環球,0.710,176740.0,200980000.0,,
331,豐盛生活服務,5.5400,759710.0,2490000000.0,5.60,6.75
332,元亨燃氣,0.017,32640.0,111270000.0,,
333,黛麗斯國際,0.2120,,63820000.0,,
334,華顯光電,0.445,2140000.0,940860000.0,5.98,
335,美建集團,0.640,12980.0,1710000000.0,24.71,2.34
336,華寶國際,4.340,11090000.0,14010000000.0,,2.28
337,綠地香港,0.193,102780.0,538830000.0,,
338,上海石油化工股份,1.330,41860000.0,4269999999.9999995,,
339,全球數字控股,0.620,1200000.0,267839999.99999997,60.19,
340,潼關黃金,2.980,20530000.0,15830000000.0,15.84,1.07
341,大家樂集團,4.010,3000000.0,2320000000.0,9.90,8.73
343,文化傳信,0.129,162290.0,215250000.0,,
345,VITASOY INT'L,6.350,5780000.0,6460000000.0,29.00,2.24
346,延長石油國際,0.400,296870.0,440040000.0,,
347,鞍鋼股份,1.490,15370000.0,2100000000.0,,
348,中國智能健康,0.0700,44220.0,53930000.0,,
351,亞洲能源物流,0.2650,,528659999.99999994,,
353,能源國際投資,0.3750,27000.0,793330000.0,1.58,
354,中國軟件國際,3.430,87110000.0,9370000000.0,23.84,1.36
355,世紀城市國際,0.089,112420.0,275230000.0,,
356,鼎立資本,0.067,57720.0,183260000.0,95.71,
357,美蘭空港,6.140,3040000.0,1390000000.0,,
358,江西銅業股份,38.360,611840000.0,53220000000.0,16.03,2.89
360,新焦點,0.0510,178880.0,878060000.0,,
361,漢成發展控股,0.0530,321140.0,310110000.0,,
363,上海實業控股,15.750,23400000.0,17120000000.000002,8.48,7.11
365,芯成科技,1.150,40240000.0,1670000000.0,87.12,
366,陸氏集團（越南）,0.940,,471520000.0,26.11,4.26
367,莊士機構國際,0.3000,296380.0,501760000.0,,
368,德合集團,0.790,56840.0,632000000.0,28.42,
369,永泰地產,2.3000,,3160000000.0,,3.04
370,港仔機器人,0.610,3240000.0,1270000000.0,,
371,北控水務集團,2.790,69000000.0,28030000000.0,17.07,5.95
372,保德國際發展,0.2200,,66599999.99999999,,
373,聯合集團,2.670,558740.0,9380000000.0,4.22,3.75
374,四洲集團,2.5200,,957660000.0,95.09,3.77
375,YGM TRADING,1.1000,,182450000.0,,9.09
376,雲鋒金融,2.740,13280000.0,11120000000.0,16.40,
377,中國華君,1.0300,,63380000.0,,
379,恒嘉融資租賃,0.1130,28980.0,190660000.0,,
380,中國管業,0.142,12830.0,189180000.0,3.38,
381,權識國際,0.140,954540.0,165630000.0,,
382,中滙集團,0.7100,776180.0,851330000.0,1.49,10.42
383,天安卓健,1.060,35750.0,1140000000.0,,
384,中國燃氣,7.350,106900000.0,40040000000.0,12.17,6.80
385,建聯集團,0.3150,,187390000.0,,3.17
386,中國石油化工股份,4.650,798270000.0,110580000000.0,15.78,4.78
387,力豐（集團）,0.7900,,181760000.0,11.29,20.25
388,香港交易所,427.000,2430000000.0,541360000000.0,30.40,2.93
389,通天酒業,0.265,184340.0,79910000.0,,
390,中國中鐵,3.870,140500000.0,16280000000.000002,4.07,4.81
391,美亞娛樂資訊,0.100,11760.0,592370000.0,,
392,北京控股,31.580,46730000.0,39720000000.0,7.01,5.13
393,旭日企業,1.410,817160.0,2109999999.9999998,28.14,6.95
396,興利（香港）控股,0.405,394590.0,327270000.0,405.00,6.17
397,嬴集團,0.048,153100.0,109530000.0,,
398,東方表行集團,3.310,2029999.9999999998,1610000000.0,8.05,11.33
400,硬蛋創新,2.270,10710000.0,3730000000.0,14.92,
401,萬嘉集團,0.1880,22580.0,212170000.0,,
403,星光集團,0.161,13320.0,80600000.0,,
406,有利集團,0.7500,,328540000.0,,
408,葉氏化工集團,2.400,170060.0,1340000000.0,9.76,6.67
410,ＳＯＨＯ中國,0.4400,465290.0,2280000000.0,,
411,南順（香港）,12.6000,88280.0,3060000000.0,9.76,3.81
412,山高控股,1.240,5290000.0,7450000000.0,,
413,南華集團控股,0.0250,2120.0,330530000.0,,
417,謝瑞麟,0.830,84440.0,206820000.0,,
418,方正控股,0.760,130100.0,877990000.0,29.57,
419,弘毅文化集團,0.270,877100.0,400180000.0,,
420,福田實業,0.730,11760.0,894260000.0,12.54,7.81
422,越南製造加工出口,0.265,162070.0,240530000.0,6.66,
423,經濟日報集團,0.7800,,336640000.0,,10.26
425,敏實集團,36.900,192180000.0,43240000000.0,13.97,2.07
426,萬華媒體,0.114,48570.0,45700000.0,,
428,中國天弓控股,0.2350,1410.0,30200000.0,2.58,
430,東方興業控股,0.3850,38040.0,149450000.0,,4.16
432,盈大地產,0.3000,371730.0,611470000.0,,
433,北方礦業,0.0640,1220000.0,960130000.0,3.76,
434,博雅互動,2.930,9890000.0,2230000000.0,,1.25
436,新宇環保,0.060,41800.0,182140000.0,,2.67
438,彩虹新能源,1.670,4010.0,160730000.0,,
439,瀚源控股,0.820,612960.0,504860000.0,,
440,大新金融,42.800,23060000.0,13670000000.0,6.64,6.03
442,域能控股,0.720,307170.0,186580000.0,,
450,鴻興印刷集團,0.820,4920.0,744440000.0,,10.98
451,協鑫新能源,0.900,1730000.0,1510000000.0,,
455,天大藥業,0.093,14290.0,199950000.0,,
456,新城市建設發展,0.4600,,85820000.0,,
458,聯亞集團,1.8500,1850.0,505930000.0,4.04,9.73
460,四環醫藥,1.240,28490000.0,11340000000.0,56.11,1.76
464,中國智能科技,0.570,967160.0,431050000.0,,
465,富通科技,3.150,19790000.0,980430000.0,,
467,聯合能源集團,0.485,33420000.0,12530000000.0,11.15,
470,先導智能,57.250,102110000.0,6180000000.0,50.80,0.56
471,中播數據,0.195,731560.0,93550000.0,,
472,新絲路控股集團,0.300,418150.0,962270000.0,,
474,信銘生命科技,0.110,133730.0,974390000.0,,
475,中發展控股,0.290,67480.0,144870000.0,,
