,no,indno
934,00913.HK,5031
935,00376.HK,5021
936,00662.HK,5021
937,00945.HK,5021
938,00966.HK,5021
939,01299.HK,5021
940,01336.HK,5021
941,01339.HK,5021
942,01508.HK,5021
943,02318.HK,5021
944,02328.HK,5021
945,02378.HK,5021
946,02601.HK,5021
947,02628.HK,5021
948,06060.HK,5021
949,06161.HK,5021
950,08109.HK,5021
951,00240.HK,6031
952,00390.HK,6031
953,00610.HK,6031
954,00871.HK,6031
955,01034.HK,6031
956,01186.HK,6031
957,01343.HK,6031
958,01372.HK,6031
959,01421.HK,6031
960,01472.HK,6031
961,01557.HK,6031
962,01559.HK,6031
963,01599.HK,6031
964,01618.HK,6031
965,01706.HK,6031
966,01707.HK,6031
967,01800.HK,6031
968,01865.HK,6031
969,01903.HK,6031
970,01960.HK,6031
971,01987.HK,6031
972,02068.HK,6031
973,02110.HK,6031
974,02132.HK,6031
975,02193.HK,6031
976,02258.HK,6031
977,02295.HK,6031
978,06816.HK,6031
979,06888.HK,6031
980,08059.HK,6031
981,00031.HK,1002
982,00076.HK,1002
983,00096.HK,1002
984,00148.HK,1002
985,00187.HK,1002
986,00255.HK,1002
987,00320.HK,1002
988,00515.HK,1002
989,00532.HK,1002
990,00580.HK,1002
991,00591.HK,1002
992,00641.HK,1002
993,00675.HK,1002
994,00679.HK,1002
995,00725.HK,1002
996,00822.HK,1002
997,00838.HK,1002
998,00840.HK,1002
999,00868.HK,1002
1000,00889.HK,1002
1001,00894.HK,1002
1002,00929.HK,1002
1003,01002.HK,1002
1004,01108.HK,1002
1005,01166.HK,1002
1006,01286.HK,1002
1007,01366.HK,1002
1008,01480.HK,1002
1009,01596.HK,1002
1010,01611.HK,1002
1011,00229.HK,2021
1012,00464.HK,2021
1013,00638.HK,2021
1014,00669.HK,2021
1015,00684.HK,2021
1016,00751.HK,2021
1017,00833.HK,2021
1018,00921.HK,2021
1019,01280.HK,2021
1020,01455.HK,2021
1021,01691.HK,2021
1022,01692.HK,2021
1023,02148.HK,2021
1024,02285.HK,2021
1025,02381.HK,2021
1026,06690.HK,2021
1027,08222.HK,2021
1028,00022.HK,3021
1029,00045.HK,3021
1030,00069.HK,3021
1031,00078.HK,3021
1032,00181.HK,3021
1033,00184.HK,3021
1034,00193.HK,3021
1035,00201.HK,3021
1036,00219.HK,3021
1037,00253.HK,3021
1038,00292.HK,3021
1039,00355.HK,3021
1040,00542.HK,3021
1041,00582.HK,3021
1042,00617.HK,3021
1043,01179.HK,3021
1044,01189.HK,3021
1045,01215.HK,3021
1046,01221.HK,3021
1047,01270.HK,3021
1048,01355.HK,3021
1049,01832.HK,3021
1050,01992.HK,3021
1051,08237.HK,3021
1052,08308.HK,3021
1053,00911.HK,2051
1054,00932.HK,2051
1055,02031.HK,2051
1056,02161.HK,2051
1057,03332.HK,2051
1058,06893.HK,2051
1059,00003.HK,4002
1060,00135.HK,4002
1061,00384.HK,4002
1062,00392.HK,4002
1063,00603.HK,4002
1064,00681.HK,4002
1065,00956.HK,4002
1066,01083.HK,4002
1067,01193.HK,4002
1068,01265.HK,4002
1069,01430.HK,4002
1070,01600.HK,4002
1071,01635.HK,4002
1072,01759.HK,4002
1073,02337.HK,4002
1074,02688.HK,4002
1075,02886.HK,4002
1076,03633.HK,4002
1077,06828.HK,4002
1078,08117.HK,4002
1079,09908.HK,4002
1080,00027.HK,3025
1081,00070.HK,3025
1082,00102.HK,3025
1083,00200.HK,3025
1084,00296.HK,3025
1085,00880.HK,3025
1086,00959.HK,3025
1087,01076.HK,3025
1088,01128.HK,3025
1089,01180.HK,3025
1090,01182.HK,3025
1091,01245.HK,3025
1092,01371.HK,3025
1093,01655.HK,3025
1094,01680.HK,3025
1095,01928.HK,3025
1096,02282.HK,3025
1097,03918.HK,3025
1098,06889.HK,3025
1099,08279.HK,3025
1100,08400.HK,3025
1101,00396.HK,2022
1102,00526.HK,2022
1103,00531.HK,2022
1104,00599.HK,2022
1105,00776.HK,2022
1106,00837.HK,2022
1107,00943.HK,2022
1108,01027.HK,2022
1109,01049.HK,2022
1110,01086.HK,2022
1111,01198.HK,2022
1112,01237.HK,2022
1113,01373.HK,2022
1114,01418.HK,2022
1115,01451.HK,2022
1116,01545.HK,2022
1117,01575.HK,2022
1118,01678.HK,2022
1119,01711.HK,2022
1120,01715.HK,2022
1121,01868.HK,2022
1122,01925.HK,2022
1123,01999.HK,2022
1124,02014.HK,2022
1125,02023.HK,2022
1126,02127.HK,2022
1127,02222.HK,2022
1128,06822.HK,2022
1129,06993.HK,2022
1130,08101.HK,2022
1131,00922.HK,3051
1132,01448.HK,3051
1133,06966.HK,3051
1134,08296.HK,3051
1135,00094.HK,0534
1136,00723.HK,0534
1137,01069.HK,0534
1138,01580.HK,0534
1139,01822.HK,0534
1140,01885.HK,0534
1141,08186.HK,0534
1142,08191.HK,0534
1143,08277.HK,0534
1144,00210.HK,2032
1145,00551.HK,2032
1146,00676.HK,2032
1147,00738.HK,2032
1148,01028.HK,2032
1149,01121.HK,2032
1150,01170.HK,2032
1151,01255.HK,2032
1152,01368.HK,2032
1153,01836.HK,2032
1154,08187.HK,2032
1155,00030.HK,2046
1156,00336.HK,2046
1157,00546.HK,2046
1158,00954.HK,2046
1159,01084.HK,2046
1160,01579.HK,2046
1161,01587.HK,2046
1162,01695.HK,2046
1163,02226.HK,2046
1164,02317.HK,2046
1165,03318.HK,2046
1166,00297.HK,0533
1167,00509.HK,0533
1168,00809.HK,0533
1169,00827.HK,0533
1170,01103.HK,0533
1171,01702.HK,0533
1172,01866.HK,0533
1173,03983.HK,0533
1174,08189.HK,0533
1175,00154.HK,1005
1176,00257.HK,1005
1177,00436.HK,1005
1178,00556.HK,1005
1179,00586.HK,1005
1180,00587.HK,1005
1181,00658.HK,1005
1182,00807.HK,1005
1183,00895.HK,1005
1184,00979.HK,1005
1185,01196.HK,1005
1186,01257.HK,1005
1187,01272.HK,1005
1188,01330.HK,1005
1189,01452.HK,1005
1190,01527.HK,1005
1191,01539.HK,1005
1192,01845.HK,1005
1193,02188.HK,1005
1194,02265.HK,1005
1195,02377.HK,1005
1196,02727.HK,1005
1197,03718.HK,1005
1198,03989.HK,1005
1199,03996.HK,1005
1200,06805.HK,1005
1201,08169.HK,1005
1202,00155.HK,0536
1203,00438.HK,0536
1204,00712.HK,0536
1205,00757.HK,0536
1206,00819.HK,0536
1207,00841.HK,0536
1208,00842.HK,0536
1209,00951.HK,0536
1210,00968.HK,0536
1211,01399.HK,0536
1212,03800.HK,0536
1213,06865.HK,0536
1214,08111.HK,0536
1215,08137.HK,0536
1216,00099.HK,1003
1217,00117.HK,1003
1218,00732.HK,1003
1219,00854.HK,1003
1220,01184.HK,1003
1221,01213.HK,1003
1222,01401.HK,1003
1223,01415.HK,1003
1224,01725.HK,1003
1225,01979.HK,1003
1226,02018.HK,1003
1227,02382.HK,1003
1228,09918.HK,1003
1229,00002.HK,4001
1230,00006.HK,4001
1231,00090.HK,4001
1232,00579.HK,4001
1233,00836.HK,4001
1234,00902.HK,4001
1235,00916.HK,4001
1236,00991.HK,4001
1237,01071.HK,4001
1238,01381.HK,4001
1239,01608.HK,4001
1240,01671.HK,4001
1241,01713.HK,4001
1242,01816.HK,4001
1243,01853.HK,4001
1244,02380.HK,4001
1245,02638.HK,4001
1246,00042.HK,1007
