代號,名稱,按盤價,成交金額,市值,市盈率,股息率
0248,香港通訊國際控股有限公司,N/A,0,0,N/A,N/A
0251,爪哇控股有限公司,N/A,0,0,N/A,N/A
0252,華信地產財務有限公司,N/A,0,0,N/A,N/A
0253,順豪控股有限公司,N/A,0,0,N/A,N/A
0254,國家聯合資源控股有限公司,N/A,0,0,N/A,N/A
0255,龍記集團控股有限公司,N/A,0,0,N/A,N/A
0256,冠城鐘錶珠寶集團有限公司,N/A,0,0,N/A,N/A
0257,中國光大環境（集團）有限公司,N/A,0,0,N/A,N/A
0258,湯臣集團有限公司,N/A,0,0,N/A,N/A
0259,億都 (國際控股) 有限公司,N/A,0,0,N/A,N/A
0261,GBA集團有限公司,N/A,0,0,N/A,N/A
0262,迪臣發展國際集團有限公司,N/A,0,0,N/A,N/A
0264,中聯發展控股集團有限公司,N/A,0,0,N/A,N/A
0265,港譽智慧城市服務控股有限公司,N/A,0,0,N/A,N/A
0266,天德地產有限公司,N/A,0,0,N/A,N/A
0267,中國中信股份有限公司,N/A,0,0,N/A,N/A
0268,金蝶國際軟件集團有限公司,N/A,0,0,N/A,N/A
0269,中國資源交通集團有限公司,N/A,0,0,N/A,N/A
0270,粵海投資有限公司,N/A,0,0,N/A,N/A
0271,亞證地產有限公司,N/A,0,0,N/A,N/A
0272,瑞安房地產有限公司,N/A,0,0,N/A,N/A
0274,復興亞洲絲路集團有限公司,N/A,0,0,N/A,N/A
0276,蒙古能源有限公司,N/A,0,0,N/A,N/A
0277,太興置業有限公司,N/A,0,0,N/A,N/A
0279,裕承科金有限公司,N/A,0,0,N/A,N/A
0280,景福集團有限公司,N/A,0,0,N/A,N/A
0285,比亞迪電子（國際）有限公司,N/A,0,0,N/A,N/A
0286,愛帝宮母嬰健康股份有限公司,N/A,0,0,N/A,N/A
0287,永發置業有限公司,N/A,0,0,N/A,N/A
0288,萬洲國際有限公司,N/A,0,0,N/A,N/A
0289,永安國際有限公司,N/A,0,0,N/A,N/A
0290,國富量子創新有限公司,N/A,0,0,N/A,N/A
0291,華潤啤酒(控股)有限公司,N/A,0,0,N/A,N/A
0293,國泰航空有限公司,N/A,0,0,N/A,N/A
0294,長江製衣有限公司,N/A,0,0,N/A,N/A
0295,江山控股有限公司,N/A,0,0,N/A,N/A
0296,英皇娛樂酒店有限公司,N/A,0,0,N/A,N/A
0297,中化化肥控股有限公司,N/A,0,0,N/A,N/A
0298,莊士中國投資有限公司,N/A,0,0,N/A,N/A
0299,寶新置地集團有限公司,N/A,0,0,N/A,N/A
0300,美的集團股份有限公司,N/A,0,0,N/A,N/A
0301,三和精化集團有限公司,N/A,0,0,N/A,N/A
0302,中手游科技集團有限公司,N/A,0,0,N/A,N/A
0303,偉易達集團有限公司,N/A,0,0,N/A,N/A
