volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.16,0.65,1,5,0.99,0.6241163341525929,79
0.16,0.65,1,5,0.98,0.6241163341525929,79
0.16,0.65,1,5,0.97,0.6241163341525929,79
0.16,0.55,3,4,0.97,0.6236027087785486,79
0.16,0.55,3,4,0.99,0.6236027087785486,79
0.16,0.55,3,4,0.98,0.6236027087785486,79
0.12,0.5,3,3,0.98,0.623002044592519,79
0.12,0.5,3,3,0.99,0.623002044592519,79
0.12,0.5,3,3,0.97,0.623002044592519,79
0.12,0.7,2,4,0.98,0.6229587952527285,79
0.12,0.7,2,4,0.97,0.6229587952527285,79
0.12,0.7,2,4,0.99,0.6229587952527285,79
0.18,0.7,3,4,0.98,0.622233686102374,79
0.18,0.7,3,4,0.97,0.622233686102374,79
0.18,0.7,3,4,0.99,0.622233686102374,79
0.1,0.65,1,4,0.97,0.6220635579103834,79
0.1,0.65,1,4,0.99,0.6220635579103834,79
0.1,0.65,1,4,0.98,0.6220635579103834,79
0.16,0.7,1,5,0.99,0.6211575209715152,79
0.16,0.7,1,5,0.97,0.6211575209715152,79
0.16,0.7,1,5,0.98,0.6211575209715152,79
0.16,0.6,3,4,0.97,0.6208977003063901,79
0.16,0.6,3,4,0.98,0.6208977003063901,79
0.16,0.6,3,4,0.99,0.6208977003063901,79
0.12,0.65,2,4,0.97,0.620345151817946,79
0.12,0.65,2,4,0.99,0.620345151817946,79
0.12,0.65,2,4,0.98,0.620345151817946,79
0.14,0.6,1,5,0.97,0.6198575459022342,79
0.14,0.6,1,5,0.98,0.6198575459022342,79
0.14,0.6,1,5,0.99,0.6198575459022342,79
0.1,0.6,1,4,0.97,0.6191214794905545,79
0.1,0.6,1,4,0.99,0.6191214794905545,79
0.1,0.6,1,4,0.98,0.6191214794905545,79
0.16,0.65,3,4,0.99,0.6180723488140168,79
0.16,0.65,3,4,0.97,0.6180723488140168,79
0.16,0.65,3,4,0.98,0.6180723488140168,79
