sno,TP12,TP1,TP2,TP1C,CL1,BY1
1312.HK,0,0,0,0,1,0
1314.HK,0,0,0,0,1,0
1315.HK,0,0,0,0,1,0
1319.HK,0,0,0,2,0,0
1328.HK,0,0,0,0,0,1
1332.HK,1,0,0,0,1,0
1340.HK,0,0,1,0,0,0
1341.HK,1,0,0,0,0,0
1348.HK,0,0,0,1,0,0
1349.HK,0,0,0,1,0,0
1355.HK,0,0,0,0,2,0
1371.HK,1,0,0,0,0,0
1382.HK,1,0,0,0,3,2
1388.HK,1,0,0,0,0,0
1393.HK,1,0,0,0,2,0
1395.HK,1,0,0,0,0,0
1397.HK,1,0,0,0,0,0
1399.HK,1,0,0,1,1,0
1401.HK,0,0,0,0,1,0
1429.HK,0,0,0,0,1,0
1431.HK,1,0,0,0,0,0
1433.HK,0,1,0,0,0,0
1446.HK,0,0,0,0,1,0
1447.HK,0,0,0,1,0,0
1450.HK,0,0,0,1,0,0
1455.HK,0,0,1,0,0,0
1461.HK,0,0,0,0,1,1
1466.HK,0,0,0,0,0,1
1473.HK,0,0,0,0,1,0
1480.HK,0,0,0,0,1,0
1483.HK,1,1,0,0,0,0
1490.HK,1,0,0,0,1,0
1495.HK,0,0,0,1,0,0
1496.HK,2,0,0,1,0,0
1498.HK,1,0,0,0,0,0
1532.HK,0,0,0,0,1,0
1538.HK,0,0,1,1,0,0
1539.HK,1,0,0,0,0,0
1543.HK,0,0,0,0,1,0
1545.HK,0,0,0,1,0,0
1549.HK,0,0,0,1,1,0
1555.HK,0,0,0,0,1,0
1565.HK,0,0,0,0,0,1
1566.HK,0,0,0,1,0,0
1569.HK,0,0,1,0,1,0
1572.HK,0,0,0,0,1,0
1575.HK,0,0,0,0,1,0
1592.HK,1,0,0,1,1,0
1598.HK,0,0,0,0,1,0
1608.HK,0,0,0,1,0,0
1612.HK,0,0,1,0,0,0
1616.HK,0,0,0,0,2,0
1620.HK,1,0,0,0,0,0
1621.HK,0,0,0,1,0,0
1623.HK,1,0,0,0,1,0
1635.HK,0,0,0,0,1,0
1643.HK,1,0,0,0,0,0
1645.HK,0,0,0,1,0,0
1650.HK,0,0,1,0,0,0
1653.HK,1,0,0,0,0,0
1660.HK,1,0,0,0,0,0
1680.HK,1,0,0,0,0,0
1689.HK,2,0,0,0,0,0
1702.HK,0,0,0,1,0,0
1708.HK,1,0,0,1,0,0
1715.HK,1,0,0,0,0,0
1716.HK,0,0,0,0,1,0
1718.HK,0,0,0,0,1,0
1719.HK,1,0,0,2,0,0
1723.HK,2,0,0,0,0,0
1725.HK,0,0,0,0,1,0
1731.HK,1,0,1,0,0,0
1732.HK,1,0,1,0,1,0
1736.HK,1,0,0,0,0,0
1738.HK,0,0,0,1,0,0
1739.HK,0,0,0,0,1,0
1746.HK,0,0,0,1,0,0
1748.HK,1,0,0,0,0,0
1749.HK,0,0,0,0,1,0
1756.HK,0,0,0,0,1,0
1760.HK,1,0,0,0,0,0
1765.HK,0,0,0,0,1,0
1785.HK,1,0,0,0,0,0
1786.HK,1,0,0,0,2,0
1792.HK,1,0,1,1,0,0
1803.HK,1,0,0,0,1,0
1812.HK,1,0,0,0,0,0
1822.HK,0,0,0,0,1,0
1823.HK,2,0,0,0,0,0
1831.HK,1,0,0,0,0,0
1843.HK,0,0,1,0,0,0
1851.HK,0,0,0,1,0,0
1868.HK,0,0,0,1,1,0
1869.HK,0,0,1,1,0,0
1871.HK,2,0,0,0,0,0
1875.HK,1,0,0,0,0,0
1884.HK,2,0,0,0,0,0
1889.HK,1,0,0,0,0,0
1891.HK,1,0,0,0,0,1
1894.HK,0,0,0,0,1,0
1901.HK,0,0,0,1,1,1
1906.HK,1,0,0,0,0,0
1909.HK,1,0,0,0,0,0
1912.HK,0,0,1,0,0,0
1925.HK,1,0,0,0,0,0
1932.HK,0,0,0,1,0,0
1940.HK,1,0,0,0,0,0
1941.HK,1,0,0,0,0,0
1955.HK,0,0,0,0,1,0
1959.HK,2,0,0,0,0,0
1961.HK,0,0,0,0,1,0
1962.HK,0,1,0,0,0,0
1975.HK,1,0,0,0,0,0
1980.HK,1,0,0,0,0,0
1983.HK,0,0,0,0,0,1
1985.HK,2,0,0,0,1,0
1987.HK,0,0,0,0,1,0
1991.HK,1,0,0,0,2,0
2002.HK,0,0,0,1,1,0
2003.HK,0,0,0,1,0,0
2008.HK,0,0,0,1,3,0
2023.HK,2,0,0,0,0,0
2028.HK,0,0,0,1,2,0
2031.HK,1,0,0,0,0,0
2033.HK,0,0,0,0,1,0
2060.HK,0,0,0,0,1,0
2086.HK,0,1,0,0,0,0
2108.HK,1,0,0,0,0,0
2112.HK,0,0,1,0,1,0
2116.HK,1,0,0,0,0,0
2119.HK,0,0,0,1,0,0
2126.HK,0,0,0,1,0,0
2129.HK,0,0,0,0,1,0
2131.HK,1,0,0,0,0,0
2135.HK,0,1,0,0,0,0
2163.HK,1,0,0,0,0,0
2176.HK,1,0,0,0,0,0
2182.HK,1,0,0,0,0,0
2189.HK,0,1,0,1,0,0
2203.HK,0,0,0,0,1,0
2218.HK,1,0,1,1,1,0
2222.HK,0,0,0,0,1,0
2279.HK,1,0,0,0,0,0
2280.HK,1,0,0,0,0,0
2289.HK,0,0,0,1,0,0
2293.HK,0,0,0,1,0,0
2307.HK,0,0,0,0,1,0
2309.HK,1,0,0,0,1,0
2317.HK,1,0,0,0,0,0
2320.HK,1,0,0,0,0,0
2322.HK,1,0,0,0,1,0
2323.HK,1,0,0,0,3,0
2324.HK,2,0,0,0,0,0
2327.HK,2,0,0,0,0,0
2337.HK,1,0,1,0,0,0
2348.HK,1,1,0,0,1,0
2363.HK,1,0,0,0,0,0
2371.HK,1,0,0,0,1,0
2377.HK,1,1,0,0,0,0
2383.HK,1,0,0,0,0,0
2399.HK,1,0,0,0,0,0
2405.HK,0,0,0,1,0,0
2416.HK,1,0,0,0,0,0
2438.HK,0,0,0,0,1,0
2457.HK,1,0,0,0,0,0
2483.HK,0,0,0,0,0,1
2488.HK,1,0,0,0,0,0
2495.HK,0,0,0,0,1,0
2501.HK,1,0,0,0,0,0
2511.HK,1,0,0,0,0,1
2623.HK,0,0,0,0,1,0
2722.HK,0,0,0,0,1,0
2798.HK,1,0,0,0,0,0
2878.HK,1,0,0,0,1,0
2886.HK,2,0,0,1,0,0
3300.HK,0,0,1,0,0,0
3303.HK,0,0,0,0,1,0
3313.HK,1,0,0,0,0,0
3322.HK,1,0,0,0,0,0
3326.HK,0,0,0,0,3,0
3348.HK,0,0,0,0,1,0
3389.HK,0,0,1,0,0,0
3399.HK,0,0,0,0,1,1
3626.HK,0,0,0,1,0,0
3638.HK,1,0,0,0,0,0
3639.HK,0,0,0,0,1,0
3666.HK,0,0,0,0,1,0
3700.HK,1,0,1,0,0,0
3778.HK,0,0,2,0,1,0
3816.HK,0,0,0,1,0,0
3836.HK,1,0,0,0,0,0
3838.HK,1,0,1,0,0,0
3889.HK,1,0,0,1,1,0
3989.HK,0,1,0,2,0,0
3997.HK,0,0,1,0,0,0
3999.HK,0,0,1,0,0,0
6083.HK,0,0,0,0,1,0
6100.HK,1,0,0,0,0,0
6117.HK,1,0,0,0,0,0
6119.HK,1,0,0,0,0,0
6133.HK,0,0,0,0,1,0
6136.HK,0,0,1,0,0,0
6193.HK,0,0,0,1,0,0
6609.HK,0,0,0,0,1,0
