sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0708.HK,2,0,0,0,2,0,4,50.00%,
0711.HK,1,0,0,0,0,0,1,100.00%,
0712.HK,2,0,0,3,4,0,9,22.22%,
0713.HK,1,0,0,1,1,0,3,33.33%,
0716.HK,2,1,0,2,4,1,10,30.00%,
0717.HK,1,0,0,0,1,1,3,33.33%,
0719.HK,0,0,0,0,2,2,4,0.00%,
0721.HK,1,0,0,1,3,1,6,16.67%,
0722.HK,0,0,0,1,0,1,2,0.00%,
0723.HK,0,0,0,1,2,2,5,0.00%,
0724.HK,0,0,0,1,2,2,5,0.00%,
0726.HK,0,0,0,0,5,2,7,0.00%,
0730.HK,2,0,0,3,5,1,11,18.18%,
0731.HK,0,0,0,0,2,1,3,0.00%,
0733.HK,4,0,0,0,2,0,6,66.67%,
0736.HK,0,0,0,0,1,0,1,0.00%,
0738.HK,0,0,1,2,1,0,4,25.00%,
0750.HK,0,1,0,2,3,2,8,12.50%,
0755.HK,1,1,1,1,1,1,6,50.00%,
0756.HK,0,0,0,0,1,0,1,0.00%,
0757.HK,2,0,0,1,2,0,5,40.00%,
0759.HK,0,0,0,1,5,3,9,0.00%,
0764.HK,0,1,1,0,3,3,8,25.00%,
0765.HK,3,1,0,0,5,1,10,40.00%,
0767.HK,1,0,0,1,4,1,7,14.29%,
0768.HK,1,0,0,0,2,0,3,33.33%,
0769.HK,2,0,0,2,0,0,4,50.00%,
0771.HK,1,0,0,0,1,1,3,33.33%,
0776.HK,0,0,1,1,0,0,2,50.00%,
0784.HK,0,0,0,0,0,1,1,0.00%,
0789.HK,2,0,0,0,5,1,8,25.00%,
0794.HK,0,1,0,1,2,0,4,25.00%,
0798.HK,0,0,0,0,1,0,1,0.00%,
0802.HK,1,0,0,0,1,0,2,50.00%,
0804.HK,0,0,0,0,1,0,1,0.00%,
0809.HK,2,1,0,1,1,2,7,42.86%,
0810.HK,0,1,0,1,1,0,3,33.33%,
0814.HK,1,0,0,2,3,0,6,16.67%,
0815.HK,1,0,0,0,1,1,3,33.33%,
0818.HK,1,0,0,1,1,2,5,20.00%,
0821.HK,0,0,1,0,3,1,5,20.00%,
0822.HK,0,0,0,1,0,0,1,0.00%,
0825.HK,2,0,0,1,5,0,8,25.00%,
0827.HK,1,0,0,0,2,0,3,33.33%,
0828.HK,1,1,0,0,0,0,2,100.00%,
0829.HK,0,1,1,0,2,0,4,50.00%,
0831.HK,0,0,1,0,2,1,4,25.00%,
0833.HK,0,0,0,0,3,1,4,0.00%,
0834.HK,1,1,0,0,2,0,4,50.00%,
0840.HK,2,0,0,0,3,0,5,40.00%,
0841.HK,0,1,0,0,0,0,1,100.00%,
0844.HK,0,0,0,0,1,0,1,0.00%,
0848.HK,1,0,1,1,2,1,6,33.33%,
0851.HK,0,0,0,1,2,1,4,0.00%,
0852.HK,0,1,1,0,0,0,2,100.00%,
0854.HK,0,2,0,0,0,0,2,100.00%,
0858.HK,1,1,0,1,2,1,6,33.33%,
0859.HK,1,1,0,0,0,0,2,100.00%,
0860.HK,1,1,0,2,0,0,4,50.00%,
0862.HK,3,2,0,0,2,0,7,71.43%,
0869.HK,1,0,0,0,3,0,4,25.00%,
0871.HK,2,0,0,0,0,0,2,100.00%,
0873.HK,1,0,0,1,1,0,3,33.33%,
0875.HK,1,0,1,0,2,0,4,50.00%,
0876.HK,0,0,0,0,1,0,1,0.00%,
0888.HK,1,1,0,2,2,1,7,28.57%,
0889.HK,2,0,0,0,0,0,2,100.00%,
0893.HK,0,0,0,2,0,0,2,0.00%,
0894.HK,3,0,0,0,3,1,7,42.86%,
0895.HK,1,1,0,0,5,0,7,28.57%,
0896.HK,2,0,0,0,0,0,2,100.00%,
0897.HK,0,0,0,0,1,1,2,0.00%,
0899.HK,1,0,1,0,2,1,5,40.00%,
0905.HK,0,0,0,0,3,1,4,0.00%,
0907.HK,3,0,1,0,1,2,7,57.14%,
0911.HK,1,0,0,0,1,0,2,50.00%,
0912.HK,0,0,1,0,1,0,2,50.00%,
0913.HK,0,0,0,1,4,2,7,0.00%,
0915.HK,0,1,0,3,2,2,8,12.50%,
0918.HK,1,1,1,1,4,0,8,37.50%,
0919.HK,1,1,1,0,1,2,6,50.00%,
0922.HK,0,0,0,0,3,0,3,0.00%,
0923.HK,0,0,2,0,2,1,5,40.00%,
0926.HK,2,1,1,0,3,0,7,57.14%,
