Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,classification,PATTERN,LLLow,LLDate,HHClose,HHDate,HHHigh,22DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_150,medium_bullish,weak_bullish,Capital Gains,buy_price,tp1_price,tp2_price,SNO
2016-11-17,1046.HK,0.6600000262260437,0.75,0.6600000262260437,0.7200000286102295,0.3461538255214691,8145500,0.0,0.0,0.3271351873254708,0.3236146362852377,0.3226741001398496,0.3366945227785504,0.5585028550440121,False,True,HL,HLHLLH,0.6700000166893005,2016-11-24,0.6600000262260437,2016-12-06,0.6899999976158142,0.6000000238418579,BY1-2016/10/04,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1046.HK
2017-01-23,1046.HK,0.5400000214576721,0.5899999737739563,0.5299999713897705,0.550000011920929,0.2644230723381042,220000,0.0,0.0,0.2923288021001363,0.3048528956185865,0.3140734182329793,0.3242258940552974,0.4868925107290002,False,False,LL,LLLHHL,0.6000000238418579,2017-01-26,0.6200000047683716,2017-02-07,0.5699999928474426,0.5299999713897705,CL1-2016/10/04,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1046.HK
2010-12-10,1047.HK,0.5299999713897705,0.5299999713897705,0.5299999713897705,0.5299999713897705,0.3621269166469574,180000,0.0,0.0,0.3620556482172212,0.3615588145042022,0.3549732424803792,0.3385550068548886,0.3166439845177665,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2010/11/22,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1047.HK
2011-01-03,1047.HK,0.4799999892711639,0.4850000143051147,0.4799999892711639,0.4850000143051147,0.3313802182674408,200000,0.0,0.0,0.3414163866747488,0.3488684011251788,0.3510688200980952,0.3403124770852123,0.3196204543989236,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2010/11/22,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1047.HK
2021-03-10,1047.HK,0.4850000143051147,0.4850000143051147,0.4199999868869781,0.4749999940395355,0.4002492725849151,124000,0.0,0.0,0.4079692180826552,0.3976954106546805,0.3928310318894191,0.4162480013009487,0.4925402335044011,False,True,LL,LLLHHH,0.4950000047683716,2021-03-16,0.4799999892711639,2021-03-24,0.5699999928474426,0.4199999868869781,BY1-2020/12/14,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1047.HK
2021-08-13,1047.HK,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.527323305606842,2000,0.0,0.0,0.4819008960248547,0.4621794367642162,0.4444195299971967,0.4353330225239767,0.4704694404948741,False,True,HH,HHHLHH,0.4799999892711639,2021-08-26,0.6800000071525574,2021-09-20,0.75,0.5199999809265137,TP1-2020/12/14,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1047.HK
2021-09-20,1047.HK,0.6899999976158142,0.75,0.6499999761581421,0.6800000071525574,0.5976331233978271,1374000,0.0,0.0,0.5466896410317242,0.5147277591711159,0.4800345602028513,0.4571170311031649,0.4760146560948723,False,True,HH,HHHLLH,0.6000000238418579,2021-09-27,0.6800000071525574,2021-09-28,0.6800000071525574,0.550000011920929,TP2-2020/12/14,False,False,True,False,False,False,0.0,0,0,False,False,,,,,,,1047.HK
2012-10-12,1049.HK,9.35278034210205,10.861292839050291,9.20192813873291,9.35278034210205,7.168885707855225,44808,0.0,0.0,7.924562176785564,7.85567146129018,7.78933397463929,8.500617663275476,13.8351369121212,False,True,HL,HLLHLL,10.861292839050291,2012-10-22,9.50363063812256,2012-11-02,9.051076889038086,9.20192813873291,TP1-2012/08/20,True,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1049.HK
2012-11-19,1049.HK,7.542563915252685,8.749374389648438,7.467137813568115,7.844266891479492,6.012613296508789,18550,0.0,0.0,6.728620810152963,7.070084150320144,7.372096090248911,7.993540505686692,12.676789678223855,False,False,LL,LLLHLL,7.844266891479492,2012-11-29,7.542563915252685,2012-12-12,7.316287040710449,7.467137813568115,CL2-2012/08/20,False,False,False,False,True,False,0.0,0,0,False,False,,,,,,,1049.HK
2025-04-03,1049.HK,0.8399999737739563,0.8399999737739563,0.7799999713897705,0.7799999713897705,0.7799999713897705,6000,0.0,0.0,0.9903224488418496,0.960237725781623,0.9356957474174816,1.024055575478421,1.2149899795570258,False,True,,,0.0,,0.0,,0.0,0.0,BY1-2024/10/07,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1049.HK
2025-05-14,1049.HK,1.1200000047683716,1.7100000381469729,1.0800000429153442,1.149999976158142,1.149999976158142,269044,0.0,0.0,1.0679646550658477,1.006504956680536,0.9615729010609806,1.018901967685699,1.1961696463034797,False,True,HH,HHHLLH,0.7300000190734863,2025-05-15,1.0199999809265137,2025-06-11,1.190000057220459,0.6000000238418579,TP1-2024/10/07,False,True,False,False,False,False,0.0,0,0,False,False,,,,,,,1049.HK
2018-02-09,0105.HK,24.5,24.5,24.5,24.5,16.922592163085938,8000,0.0,0.0,17.317079655378414,17.08132096961976,16.58148071715116,15.912872902955916,14.759296568667954,True,True,HL,HLLHLL,25.39999961853028,2018-03-05,23.799999237060547,2018-07-04,23.600000381469727,25.200000762939453,BY1-2017/12/11,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,105.HK
2018-07-04,0105.HK,23.600000381469727,23.600000381469727,23.600000381469727,23.799999237060547,16.439090728759766,2000,0.0,0.0,16.9898253587919,17.095557305020236,16.88047281967002,16.29902740939066,15.087400988811286,False,False,LL,LLLHLL,24.0,2018-07-30,21.89999961853028,2018-11-27,21.89999961853028,23.799999237060547,CL1-2017/12/11,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,105.HK
2001-06-14,1053.HK,1.2307690382003784,1.2538460493087769,1.0153839588165283,1.046152949333191,0.6874187588691711,42775200,0.0,0.0,0.8145782310492777,0.7612470934534691,0.630876423194164,0.4865173696954181,0.3312711171406324,True,True,,,0.0,,0.0,,0.0,0.0,BY1-2001/05/07,True,False,False,False,False,False,0.0,0,0,False,False,,,,,,,1053.HK
2001-07-17,1053.HK,0.8230760097503662,0.8230760097503662,0.761538028717041,0.761538028717041,0.5004005432128906,34533200,0.0,0.0,0.5933262130560253,0.6437889746763648,0.6357102969537358,0.539506934807701,0.3786631899470273,False,False,,,0.0,,0.0,,0.0,0.0,CL1-2001/05/07,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,1053.HK
