Date,sno,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA1,EMA2,T1_22,T1_10,EMA100,EMA250
2025-10-07,FACTU,10.5,10.5,10.4399995803833,10.470000267028809,1900,0.0,0.0,10.415603811538784,10.39105567124566,10.3155258300838,False,True,True,True,10.212143496078792,
2025-10-07,EGHA,9.314000129699709,10.079999923706056,9.314000129699709,10.050000190734863,60400,0.0,0.0,10.038647696419616,10.030195748488492,10.022522389535911,False,True,True,True,10.015044144137295,
2025-10-07,DTSQ,10.470000267028809,10.470000267028809,10.470000267028809,10.470000267028809,1500,0.0,0.0,10.465065603894049,10.433967085111416,10.35555560907786,False,True,True,True,10.25613392076096,
2025-10-07,DMAAU,10.600000381469728,10.600000381469728,10.600000381469728,10.600000381469728,290,0.0,0.0,10.50211673373336,10.48728422408228,10.416314696901935,False,True,True,True,10.316063874619456,
2025-10-07,CSTL,23.31999969482422,23.52400016784668,22.665000915527344,22.920000076293945,279500,0.0,0.0,22.86324187416166,22.662387224096346,21.691163599231672,False,True,False,True,21.02453063344343,21.891943381519084
2025-10-07,CRAQ,10.020000457763672,10.029999732971191,10.020000457763672,10.029999732971191,46300,0.0,0.0,10.014401980063813,10.00761282017292,9.999805270933,False,True,True,True,9.992441561219804,
2025-10-07,COLA,10.248000144958496,10.248000144958496,10.229999542236328,10.229999542236328,300,0.0,0.0,10.218284848493376,10.19797805004129,10.151431459456129,False,True,True,True,10.094954185137976,
2025-10-07,CHPG,10.0600004196167,10.0600004196167,10.0600004196167,10.0600004196167,900,0.0,0.0,10.048812560409282,10.041339246793171,10.030175877217882,False,True,True,True,10.017457016997875,
2025-10-07,CHAC,10.199999809265137,10.25,10.1899995803833,10.239999771118164,128300,0.0,0.0,10.14619318822196,10.103463150707691,10.06637632879244,False,True,True,True,10.028230283055466,
2025-10-07,CGCT,10.050000190734863,10.079999923706056,10.050000190734863,10.074999809265137,645900,0.0,0.0,10.046101692946218,10.039125233146716,10.0314033053086,False,True,True,True,10.02427863846494,
2025-10-07,CEPF,10.359999656677246,10.399999618530272,10.270000457763672,10.300000190734863,35600,0.0,0.0,10.25004357302218,10.208229553829897,10.170641156891092,False,True,True,True,,
2025-10-07,CCII,10.1899995803833,10.220000267028809,10.18000030517578,10.210000038146973,47700,0.0,0.0,10.154628552215074,10.136785532932567,10.12992312303035,False,True,True,True,,
2025-10-07,BRID,8.25,8.25,8.0,8.0,800,0.0,0.0,7.992225466061424,7.935352091863539,7.866114419087164,False,True,True,True,7.996978350978735,8.672570356318603
2025-10-07,BLUW,10.0,10.0,9.989999771118164,10.0,2500,0.0,0.0,9.99129247353934,9.98424965269882,9.978847336908531,False,True,True,True,,
2025-10-07,BCAR,9.949999809265137,9.960000038146973,9.949999809265137,9.954999923706056,6100,0.0,0.0,9.938970794068672,9.926592521414928,9.919560219221312,False,True,True,True,,
2025-10-07,BACC,10.0,10.020000457763672,10.0,10.020000457763672,9400,0.0,0.0,9.999875794081897,9.991733100548268,9.979895169920246,False,True,True,True,,
2025-10-07,AXINU,10.140000343322754,10.149999618530272,10.140000343322754,10.149999618530272,400,0.0,0.0,10.11881754605722,10.118780816988744,10.10940482424265,False,True,True,True,10.090788299618994,
2025-10-07,APADU,10.079999923706056,10.079999923706056,10.050000190734863,10.050000190734863,3900,0.0,0.0,10.046248042117808,10.038387570886345,10.030402681231744,False,True,True,True,,
2025-10-07,ADAMH,25.190000534057617,25.3799991607666,25.14999961853028,25.14999961853028,52400,0.0,0.0,25.131619817444506,25.08550570365197,24.928842544176774,False,True,True,True,24.7451467118888,
2025-10-07,AACI,10.906000137329102,10.906000137329102,10.40999984741211,10.479999542236328,61300,0.0,0.0,10.432531624528716,10.375950779154309,10.28668379121178,False,True,True,True,10.202285214604345,
2025-10-07,AACB,10.18000030517578,10.18000030517578,10.097000122070312,10.149999618530272,400400,0.0,0.0,10.152384212516868,10.143390148497357,10.11966447369112,False,True,True,True,10.069704371060562,
