股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值,type
00316.HK,東方海外國際,100506,139.100,-3.600,-2.523%,1.34百萬,1.88億,7.80,0.88,6.39%,918.58億,00316.HK,3.24,3.16,8.76%,12.21%,13.85%,16.39%,50.29%,12.83%,2023/12,00316.HK,651.74億,-57.000%,109.80億,16.847%,106.84億,16.394%,16.169,-86.277%,2023/12,0316.HK,91858000000.0,L
00322.HK,康師傅控股,020203,12.980,+0.220,+1.724%,1.45千萬,1.88億,14.60,4.39,6.85%,731.62億,00322.HK,0.70,0.55,5.87%,22.44%,30.42%,3.88%,99.98%,101.16%,2023/12,00322.HK,881.54億,N/A,51.00億,5.785%,34.17億,3.877%,0.607,15.055%,2023/12,0322.HK,73162000000.0,L
00358.HK,江西銅業股份,080402,34.100,-1.440,-4.052%,1.61千萬,5.51億,14.35,1.30,3.24%,473.13億,00358.HK,1.45,0.87,4.01%,10.01%,2.31%,1.30%,30.77%,84.07%,2023/12,00358.HK,"5,703.95億",5.000%,93.56億,1.640%,73.95億,1.296%,2.138,9.529%,2023/12,0358.HK,47313000000.0,L
00371.HK,北控水務集團,120103,2.710,-0.010,-0.368%,1.77千萬,4.82千萬,16.73,0.88,6.13%,272.26億,00371.HK,0.95,0.94,1.10%,6.43%,36.71%,7.44%,78.52%,262.35%,2023/12,00371.HK,268.78億,7.000%,72.83億,27.098%,20.01億,7.445%,0.200,51.705%,2023/12,0371.HK,27226000000.0,L
00384.HK,中國燃氣,120102,7.150,-0.210,-2.853%,1.43千萬,1.02億,11.84,0.72,6.99%,389.54億,00384.HK,0.90,0.80,2.14%,5.91%,13.89%,3.91%,84.75%,109.85%,2024/03,00384.HK,814.10億,-11.000%,43.15億,5.301%,31.85億,3.912%,0.590,-26.250%,2024/03,0384.HK,38954000000.0,L
00386.HK,中國石油化工股份,030201,4.490,-0.020,-0.443%,1.48億,6.65億,15.05,0.59,4.93%,"1,067.84億",00386.HK,0.83,0.44,2.88%,7.26%,100.00%,1.85%,70.84%,54.82%,2023/12,00386.HK,"35,212.30億",-5.000%,951.81億,2.759%,639.19億,1.853%,0.534,-14.580%,2023/12,0386.HK,106783999999.99998,L
00388.HK,香港交易所,040205,388.600,+6.200,+1.621%,4.26百萬,16.48億,27.66,8.47,3.22%,"4,926.81億",00388.HK,1.10,1.10,3.48%,23.10%,100.00%,76.80%,89.75%,3.99%,2023/12,00388.HK,205.16億,11.000%,133.85億,86.662%,118.62億,76.802%,9.370,17.714%,2023/12,0388.HK,492681000000.00006,L
00392.HK,北京控股,120102,29.900,-0.300,-0.993%,2.13百萬,6.39千萬,6.68,0.38,5.42%,376.14億,00392.HK,0.74,0.66,2.69%,6.79%,13.03%,6.68%,33.48%,94.91%,2023/12,00392.HK,902.32億,-2.000%,21.21億,2.351%,60.27億,6.680%,4.779,-20.343%,2023/12,0392.HK,37614000000.0,L
00425.HK,敏實集團,020102,32.440,-1.620,-4.756%,5.51百萬,1.80億,12.41,1.45,2.36%,380.13億,00425.HK,1.24,0.96,5.07%,10.39%,27.39%,9.27%,N/A,58.13%,2023/12,00425.HK,224.98億,15.000%,25.63億,11.391%,20.86億,9.273%,1.813,23.254%,2023/12,0425.HK,38013000000.0,L
00486.HK,俄鋁,080401,4.050,-0.200,-4.706%,96.90萬,4.06百萬,無盈利,0.67,0.00%,615.32億,00486.HK,2.14,1.17,1.31%,2.56%,14.48%,2.31%,N/A,71.41%,2023/12,00486.HK,953.96億,-12.000%,-6.17億,-0.647%,22.03億,2.309%,0.148,-83.892%,2023/12,0486.HK,61532000000.00001,L
00512.HK,遠大醫藥,050202,7.130,-0.030,-0.419%,8.16百萬,5.82千萬,20.12,1.49,2.37%,253.08億,00512.HK,1.22,0.98,8.35%,12.40%,61.96%,17.85%,48.51%,22.46%,2023/12,00512.HK,105.30億,10.000%,24.68億,23.439%,18.80億,17.854%,0.536,-8.688%,2023/12,0512.HK,25308000000.0,L
00522.HK,ASMPT,070101,99.300,-3.700,-3.592%,1.53百萬,1.54億,45.83,2.44,1.40%,414.91億,00522.HK,2.53,1.48,2.99%,4.56%,39.28%,4.87%,80.35%,25.68%,2023/12,00522.HK,146.97億,-24.000%,10.36億,7.049%,7.15億,4.867%,1.730,-72.799%,2023/12,0522.HK,41491000000.0,L
00551.HK,裕元集團,020605,15.230,+0.060,+0.396%,3.46百萬,5.26千萬,8.24,0.68,8.54%,244.37億,00551.HK,1.91,1.28,3.73%,6.48%,24.40%,3.48%,67.58%,29.24%,2023/12,00551.HK,616.30億,-12.000%,26.75億,4.340%,21.46億,3.482%,1.332,-7.352%,2023/12,0551.HK,24437000000.0,L
00586.HK,海螺創業,100103,11.420,-0.350,-2.974%,8.45百萬,9.64千萬,7.77,0.37,3.50%,204.65億,00586.HK,1.26,1.21,3.06%,5.32%,27.18%,30.74%,13.42%,58.42%,2023/12,00586.HK,87.86億,-1.000%,21.24億,24.173%,27.01億,30.738%,1.491,-84.897%,2023/12,0586.HK,20465000000.0,L
00631.HK,三一國際,060201,11.050,-0.370,-3.240%,7.41百萬,8.20千萬,30.18,2.74,2.62%,363.51億,00631.HK,1.28,1.02,5.52%,16.64%,26.86%,9.51%,29.88%,68.50%,2023/12,00631.HK,222.29億,26.000%,24.78億,11.147%,21.15億,9.513%,0.636,6.339%,2023/12,0631.HK,36351000000.0,L
00656.HK,復星國際,010101,4.140,+0.100,+2.475%,2.73千萬,1.13億,無盈利,0.27,0.48%,338.10億,00656.HK,3.18,2.58,0.17%,1.10%,26.94%,0.70%,20.39%,236.31%,2023/12,00656.HK,"2,172.67億",5.000%,12.97億,0.597%,15.11億,0.696%,0.186,N/A,2023/12,0656.HK,33810000000.000004,L
00659.HK,周大福創建,010101,7.860,-0.010,-0.127%,1.61百萬,1.26千萬,16.00,0.92,10.99%,358.82億,00659.HK,0.56,0.56,1.41%,5.62%,24.39%,8.28%,435.71%,78.76%,2024/06,00659.HK,264.22億,-2.000%,36.63億,13.862%,21.87億,8.277%,0.560,40.000%,2024/06,0659.HK,35882000000.0,L
00669.HK,創科實業,020402,102.100,-0.300,-0.293%,4.38百萬,4.47億,19.99,3.45,2.52%,"1,868.16億",00669.HK,1.49,0.63,7.87%,16.99%,39.47%,7.11%,46.31%,49.44%,2023/12,00669.HK,"1,072.56億",3.000%,82.45億,7.687%,76.26億,7.110%,4.168,-9.309%,2023/12,0669.HK,186816000000.0,L
