sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
1515.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1516.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,33.33
1521.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1548.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1551.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1571.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1579.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1600.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1610.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0
1611.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1618.HK,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0
1640.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1672.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1681.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1686.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1717.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1733.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1760.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1766.HK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.33
1772.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1788.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
1789.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1798.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0
1799.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1800.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
1836.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1837.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1848.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1854.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1857.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1866.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1872.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1873.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1877.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1880.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1883.HK,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1896.HK,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1905.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
1907.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1910.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1921.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0
1951.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
1958.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1963.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1969.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1979.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1982.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2005.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
2013.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2016.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
2025.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2038.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2111.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2157.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
2158.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2161.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
2169.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2190.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2196.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2197.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
2233.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
2238.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2255.HK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,66.67
2273.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
2283.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
2285.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2299.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
2314.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2343.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2360.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2362.HK,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
2385.HK,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0
2391.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2411.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2429.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
2477.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
2479.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2480.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2489.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
2490.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2518.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2552.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,33.33
2555.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2570.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2585.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2610.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
2678.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2689.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
2866.HK,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,50.0
2880.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3323.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
