sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
0220.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
0241.HK,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,66.67
0247.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
0257.HK,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,50.0
0267.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0268.HK,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,100.0
0270.HK,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,66.67
0285.HK,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,75.0
0288.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0291.HK,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0293.HK,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,75.0
0316.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
0322.HK,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,50.0
0358.HK,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,50.0
0384.HK,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,75.0
0386.HK,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,75.0
0388.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0392.HK,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,40.0
0425.HK,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,83.33
0486.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0522.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
0656.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
0659.HK,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,6.0,50.0
