股票編號,股票名稱,行業編號,現價#,升跌,升跌(%),成交量,成交額,市盈率,市賬率,收益率,市值,股票編號_df4,流動比率,速動比率,資產回報率,股本回報率,毛利率,邊際利潤率,派息比率,債務股本比率,截至,股票編號_df6,收入,年度收入增長,經營溢利,經營利益率,股東應佔溢利,邊際利潤率_df6,每股盈利,每股盈利年度增長,截至_df6,sno,數字市值
00968.HK,信義光能,060107,3.730,-0.060,-1.583%,7.51千萬,2.83億,31.11,1.10,2.68%,341.18億,00968.HK,1.15,1.03,6.93%,13.10%,26.62%,15.72%,47.83%,36.01%,2023/12,00968.HK,266.29億,29.000%,58.93億,22.129%,41.87億,15.724%,0.470,9.523%,2023/12,0968.HK,34118000000.0
03800.HK,協鑫科技,060107,1.310,-0.020,-1.504%,6.08億,8.09億,無盈利,0.89,0.00%,417.41億,03800.HK,1.57,1.44,3.03%,5.89%,34.69%,7.45%,N/A,37.43%,2023/12,03800.HK,369.42億,-8.000%,44.93億,12.162%,27.52億,7.448%,0.104,-84.658%,2023/12,3800.HK,41741000000.0
08111.HK,中國科技產業集團,060107,0.103,-0.001,-0.962%,1.07百萬,10.68萬,無盈利,1.95,0.00%,4.75千萬,08111.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,08111.HK,0.00,-100.000%,-5.11千萬,N/A,-5.09千萬,N/A,-0.113,-75.611%,2024/03,8111.HK,47500000.0
00361.HK,順龍控股,020605,0.112,-0.004,-3.448%,2.96千萬,3.25百萬,無盈利,2.59,0.00%,5.83億,00361.HK,1.51,1.33,-4.77%,-8.15%,22.25%,-8.56%,N/A,51.51%,2023/12,00361.HK,2.17億,-54.000%,-1.74千萬,-8.042%,-1.85千萬,-8.560%,-0.004,-16.129%,2023/12,0361.HK,583000000.0
00551.HK,裕元集團,020605,15.600,+0.460,+3.038%,1.17千萬,1.83億,8.25,0.73,8.33%,250.31億,00551.HK,1.91,1.28,3.73%,6.48%,24.40%,3.48%,67.58%,29.24%,2023/12,00551.HK,616.30億,-12.000%,26.75億,4.340%,21.46億,3.482%,1.332,-7.352%,2023/12,0551.HK,25031000000.0
00933.HK,非凡領越,020605,0.580,0.000,0.000%,1.71百萬,1.02百萬,無盈利,0.88,0.00%,57.76億,00933.HK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,00933.HK,112.19億,62.000%,-10.83億,-9.656%,-1.19億,-1.061%,-0.010,N/A,2023/12,0933.HK,5776000000.0
01361.HK,３６１度,020605,6.060,-0.180,-2.885%,4.53百萬,2.74千萬,10.26,1.26,4.37%,125.30億,01361.HK,3.76,3.32,7.36%,10.59%,41.10%,11.41%,40.02%,3.25%,2023/12,01361.HK,92.34億,17.000%,15.17億,16.425%,10.54億,11.414%,0.510,25.166%,2023/12,1361.HK,12530000000.0
01368.HK,特步國際,020605,5.930,-0.050,-0.836%,5.07百萬,3.03千萬,11.46,1.72,11.77%,166.40億,01368.HK,2.06,1.75,5.95%,11.62%,42.17%,7.18%,48.57%,42.90%,2023/12,01368.HK,157.26億,7.000%,17.32億,11.013%,11.29億,7.180%,0.447,8.187%,2023/12,1368.HK,16640000000.0
01731.HK,其利工業集團,020605,0.770,0.000,0.000%,28.40萬,21.72萬,3.72,0.65,9.09%,8.62億,01731.HK,3.56,2.67,7.60%,9.99%,21.02%,7.15%,48.13%,2.16%,2023/12,01731.HK,16.26億,-4.000%,1.24億,7.639%,1.16億,7.149%,0.104,44.621%,2023/12,1731.HK,861999999.9999999
02020.HK,安踏體育,020605,82.100,-1.800,-2.145%,6.04百萬,4.99億,13.90,3.53,2.88%,"2,304.72億",02020.HK,2.53,2.18,11.10%,19.89%,62.59%,16.42%,48.70%,41.72%,2023/12,02020.HK,683.55億,12.000%,168.45億,24.644%,112.21億,16.415%,4.045,27.151%,2023/12,2020.HK,230471999999.99997
02331.HK,李寧,020605,17.560,-0.320,-1.790%,1.17千萬,2.06億,14.12,1.64,3.64%,453.89億,02331.HK,1.88,1.54,9.32%,13.06%,48.38%,11.55%,44.43%,10.42%,2023/12,02331.HK,302.53億,3.000%,39.01億,12.896%,34.93億,11.547%,1.351,-22.946%,2023/12,2331.HK,45389000000.0
02368.HK,鷹美,020605,3.970,-0.030,-0.750%,20.20萬,80.32萬,10.30,1.30,6.55%,22.79億,02368.HK,1.36,0.78,8.31%,16.72%,18.37%,6.47%,77.08%,57.95%,2024/03,02368.HK,40.75億,N/A,3.81億,9.345%,2.64億,6.467%,0.493,-10.036%,2024/03,2368.HK,2279000000.0
