sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
0709.HK,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,33.33
0710.HK,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,10.0,10.0
0732.HK,4.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,12.0,33.33
0737.HK,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,33.33
0743.HK,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0
0751.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,60.0
0752.HK,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,60.0
0763.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,66.67
0775.HK,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,40.0
0777.HK,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,20.0
0797.HK,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,66.67
0806.HK,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,6.0,33.33
0807.HK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,50.0
0811.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0815.HK,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,5.0,40.0
0819.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,50.0
0826.HK,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,8.0,50.0
0830.HK,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,75.0
0838.HK,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,50.0
0839.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0842.HK,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,75.0
0853.HK,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,20.0
0855.HK,2.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,10.0,60.0
0856.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
0861.HK,3.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,10.0,50.0
