sno,TP12,TP1,TP2,TP1C,CL1,BY1,,,
0871.HK,0,0,0,0,1,0,1,0.00%,
0873.HK,0,0,0,1,1,0,2,0.00%,
0875.HK,1,0,2,0,0,0,3,100.00%,
0876.HK,1,1,0,0,0,0,2,100.00%,
0888.HK,0,1,0,0,1,0,2,50.00%,
0893.HK,2,0,0,0,1,0,3,66.67%,
0894.HK,0,0,0,2,2,0,4,0.00%,
0895.HK,2,0,0,0,0,0,2,100.00%,
0896.HK,0,0,0,0,2,0,2,0.00%,
0897.HK,0,0,0,1,2,1,4,0.00%,
0899.HK,0,0,0,1,1,1,3,0.00%,
0905.HK,2,0,0,1,1,1,5,40.00%,
0907.HK,0,0,0,0,1,0,1,0.00%,
0911.HK,1,0,0,0,3,0,4,25.00%,
0912.HK,1,0,0,0,2,0,3,33.33%,
0913.HK,1,0,0,0,1,0,2,50.00%,
0915.HK,0,0,2,1,2,0,5,40.00%,
0918.HK,0,1,1,0,2,0,4,50.00%,
0919.HK,0,0,0,1,2,1,4,0.00%,
0922.HK,0,0,0,0,2,2,4,0.00%,
0923.HK,0,0,1,0,1,0,2,50.00%,
0926.HK,2,1,0,0,1,0,4,75.00%,
0927.HK,2,0,0,0,1,0,3,66.67%,
0928.HK,1,0,0,0,5,0,6,16.67%,
0929.HK,1,1,0,0,0,0,2,100.00%,
0932.HK,0,0,0,0,2,0,2,0.00%,
0936.HK,2,0,0,1,0,0,3,66.67%,
0943.HK,0,0,1,0,3,0,4,25.00%,
0948.HK,1,0,0,0,1,0,2,50.00%,
0950.HK,0,0,0,0,4,0,4,0.00%,
0951.HK,2,0,0,1,1,0,4,50.00%,
0952.HK,1,0,1,1,1,0,4,50.00%,
0953.HK,0,0,0,1,2,0,3,0.00%,
0954.HK,1,0,0,0,0,0,1,100.00%,
0959.HK,0,0,0,1,0,0,1,0.00%,
0969.HK,0,0,0,1,1,1,3,0.00%,
0970.HK,1,0,0,0,3,0,4,25.00%,
0976.HK,1,0,0,0,3,0,4,25.00%,
0979.HK,0,0,0,1,0,1,2,0.00%,
0980.HK,1,0,1,0,5,1,8,25.00%,
0983.HK,0,0,1,1,2,0,4,25.00%,
0984.HK,0,0,0,0,1,1,2,0.00%,
0986.HK,0,0,0,1,3,0,4,0.00%,
0987.HK,0,1,0,0,1,1,3,33.33%,
0993.HK,0,0,1,1,0,0,2,50.00%,
0994.HK,2,0,1,0,1,1,5,60.00%,
1000.HK,2,0,0,1,0,0,3,66.67%,
1001.HK,0,0,0,1,1,0,2,0.00%,
1002.HK,0,0,0,0,3,0,3,0.00%,
1003.HK,0,1,1,2,1,0,5,40.00%,
1004.HK,0,0,0,1,1,0,2,0.00%,
1005.HK,0,1,1,0,2,0,4,50.00%,
1007.HK,0,0,0,0,1,0,1,0.00%,
1008.HK,0,0,0,0,1,0,1,0.00%,
1009.HK,0,0,0,0,1,0,1,0.00%,
1010.HK,1,0,0,0,0,0,1,100.00%,
1011.HK,1,0,0,0,0,0,1,100.00%,
1013.HK,1,0,0,0,1,0,2,50.00%,
1020.HK,0,0,0,0,3,0,3,0.00%,
1022.HK,1,0,0,0,1,0,2,50.00%,
1023.HK,0,0,0,0,1,0,1,0.00%,
1025.HK,0,0,0,0,1,0,1,0.00%,
1026.HK,0,0,0,0,1,1,2,0.00%,
1027.HK,0,0,0,0,1,0,1,0.00%,
1028.HK,0,0,0,0,1,1,2,0.00%,
1029.HK,0,0,0,0,2,0,2,0.00%,
1037.HK,0,0,0,0,1,0,1,0.00%,
1039.HK,0,1,0,0,2,0,3,33.33%,
1045.HK,0,0,0,1,5,0,6,0.00%,
1046.HK,1,1,1,0,3,0,6,50.00%,
1047.HK,0,1,1,0,1,0,3,66.67%,
1049.HK,1,0,1,1,2,1,6,33.33%,
1053.HK,0,1,0,1,2,0,4,25.00%,
1057.HK,1,1,1,0,1,1,5,60.00%,
1058.HK,0,0,0,0,3,0,3,0.00%,
1059.HK,1,0,0,0,3,0,4,25.00%,
1062.HK,1,0,0,1,2,0,4,25.00%,
1063.HK,2,0,0,0,2,0,4,50.00%,
1065.HK,2,0,0,1,4,0,7,28.57%,
1068.HK,2,0,1,0,3,0,6,50.00%,
1069.HK,1,0,1,1,0,0,3,66.67%,
1073.HK,2,0,0,0,1,1,4,50.00%,
1075.HK,0,0,0,0,1,0,1,0.00%,
1079.HK,0,1,1,0,3,0,5,40.00%,
1082.HK,0,0,0,1,1,0,2,0.00%,
1084.HK,0,0,0,0,1,0,1,0.00%,
1085.HK,1,0,1,0,1,0,3,66.67%,
1087.HK,0,0,0,0,1,0,1,0.00%,
1090.HK,0,0,0,0,2,0,2,0.00%,
1094.HK,1,0,1,0,3,0,5,40.00%,
1097.HK,0,0,0,3,3,0,6,0.00%,
1098.HK,1,0,0,0,1,0,2,50.00%,
1100.HK,2,0,1,1,1,1,6,50.00%,
1101.HK,1,0,1,0,1,0,3,66.67%,
1102.HK,0,0,1,0,1,0,2,50.00%,
1105.HK,1,0,0,0,0,0,1,100.00%,
1108.HK,2,1,1,0,5,0,9,44.44%,
1110.HK,0,0,1,1,2,0,4,25.00%,
1118.HK,1,0,1,0,0,0,2,100.00%,
1119.HK,1,0,0,3,0,0,4,25.00%,
1120.HK,0,0,0,0,1,0,1,0.00%,
1122.HK,1,0,0,0,1,0,2,50.00%,
1127.HK,0,0,0,0,1,0,1,0.00%,
1129.HK,0,1,0,2,1,0,4,25.00%,
1130.HK,0,0,1,0,3,0,4,25.00%,
1132.HK,1,0,0,0,1,0,2,50.00%,
1134.HK,1,0,0,0,1,0,2,50.00%,
1137.HK,0,0,1,2,4,0,7,14.29%,
1141.HK,0,0,0,2,5,0,7,0.00%,
1143.HK,1,0,0,1,1,0,3,33.33%,
1145.HK,1,0,0,0,0,0,1,100.00%,
1146.HK,0,0,0,0,1,0,1,0.00%,
1148.HK,1,0,0,0,1,0,2,50.00%,
1150.HK,1,0,0,0,2,1,4,25.00%,
1152.HK,0,0,1,0,0,1,2,50.00%,
1153.HK,0,0,0,0,1,0,1,0.00%,
1159.HK,0,0,0,0,5,2,7,0.00%,
1163.HK,0,0,0,0,1,0,1,0.00%,
1165.HK,1,0,0,0,4,0,5,20.00%,
1166.HK,0,0,0,0,1,0,1,0.00%,
1170.HK,1,0,0,0,2,0,3,33.33%,
1172.HK,0,0,1,1,3,0,5,20.00%,
1173.HK,0,0,0,0,1,0,1,0.00%,
1180.HK,1,0,1,0,1,0,3,66.67%,
1181.HK,2,0,0,1,0,0,3,66.67%,
1183.HK,0,0,0,0,2,0,2,0.00%,
1185.HK,1,0,0,0,0,0,1,100.00%,
1188.HK,1,0,0,0,1,0,2,50.00%,
1195.HK,0,0,0,0,1,1,2,0.00%,
1198.HK,0,0,0,0,3,0,3,0.00%,
1200.HK,4,1,0,0,2,0,7,71.43%,
1201.HK,1,0,1,2,3,1,8,25.00%,
1202.HK,3,1,1,0,3,1,9,55.56%,
1203.HK,0,0,0,0,0,1,1,0.00%,
1206.HK,0,0,0,0,1,0,1,0.00%,
1215.HK,0,0,0,0,1,0,1,0.00%,
1217.HK,1,0,0,0,0,0,1,100.00%,
1220.HK,0,0,0,1,1,0,2,0.00%,
1221.HK,1,0,0,0,1,1,3,33.33%,
1222.HK,0,0,0,0,1,0,1,0.00%,
1225.HK,1,0,1,0,0,0,2,100.00%,
1229.HK,0,0,0,0,2,1,3,0.00%,
1235.HK,0,0,0,0,1,0,1,0.00%,
1237.HK,0,0,0,0,3,0,3,0.00%,
1239.HK,0,1,1,0,0,0,2,100.00%,
1240.HK,0,0,0,1,0,0,1,0.00%,
1241.HK,0,0,2,0,0,1,3,66.67%,
1244.HK,0,0,0,0,1,0,1,0.00%,
1247.HK,0,0,0,0,2,1,3,0.00%,
1251.HK,4,0,1,0,4,0,9,55.56%,
1252.HK,0,0,0,2,2,0,4,0.00%,
1253.HK,2,0,0,1,2,0,5,40.00%,
1255.HK,0,0,0,0,2,0,2,0.00%,
1257.HK,0,0,0,1,3,0,4,0.00%,
1259.HK,0,0,0,0,1,0,1,0.00%,
1260.HK,0,0,0,0,2,0,2,0.00%,
1262.HK,0,0,2,0,0,0,2,100.00%,
1265.HK,2,0,0,0,0,0,2,100.00%,
1269.HK,2,0,0,0,0,0,2,100.00%,
1273.HK,0,0,0,0,2,0,2,0.00%,
1281.HK,1,0,0,0,1,0,2,50.00%,
1282.HK,1,0,0,0,2,1,4,25.00%,
1285.HK,0,0,0,0,0,1,1,0.00%,
1289.HK,0,0,0,0,1,0,1,0.00%,
1292.HK,0,0,3,1,1,1,6,50.00%,
1293.HK,1,0,0,0,1,0,2,50.00%,
1298.HK,0,0,0,0,1,0,1,0.00%,
1301.HK,1,0,0,0,1,0,2,50.00%,
1303.HK,0,0,1,0,0,0,1,100.00%,
1305.HK,1,1,0,0,0,0,2,100.00%,
1312.HK,0,0,1,1,1,0,3,33.33%,
1314.HK,0,0,0,0,2,0,2,0.00%,
1315.HK,1,0,0,0,2,0,3,33.33%,
1317.HK,1,0,0,0,0,0,1,100.00%,
1319.HK,0,0,0,0,1,0,1,0.00%,
1323.HK,0,0,0,0,2,0,2,0.00%,
