Date,sno,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,EMA10,EMA22,EMA50,EMA100,EMA250,EMA1,EMA2,LLLow,HHClose,HHHigh,22DLow,33DLow,BOSS_STATUS,BOSSB,BOSSTP1,BOSSTP2,BOSSTP3,BOSSCL1,BOSSCL2,BOSS1,bullish_ratio,bullish_count,strong_bullish,BOSS2,T1_100,classification,PATTERN,LLDate,HHDate,medium_bullish,weak_bullish,buy_price,tp1_price,tp2_price,tp3_price,SNO
2025-11-07,FDUS,20.420000076293945,20.5,19.3700008392334,19.770000457763672,19.770000457763672,512200,0.0,0.0,20.47012472358037,20.46336286073243,20.546320943998268,20.607572891104237,20.5291336276248,False,True,20.01000022888184,19.700000762939453,19.64999961853028,19.3700008392334,19.3700008392334,BY1-2025/10/06,True,False,False,False,False,False,False,0.0,0,0,False,False,LL,LLLHHL,2025-11-18,2025-11-18,,,,,,,FDUS
2025-10-16,FFBC,24.90999984741211,25.040000915527344,23.1200008392334,23.26000022888184,23.26000022888184,585800,0.0,0.0,24.998786380727417,25.35020539683185,25.400304389782494,25.246543377400545,25.09020714600195,False,False,24.82999992370605,23.670000076293945,23.059999465942383,23.1200008392334,23.1200008392334,CL1-2025/07/29,False,False,False,False,True,False,False,0.0,0,0,False,False,LL,LLLHLL,2025-10-24,2025-11-03,,,,,,,FFBC
2025-10-16,FFIV,324.67999267578125,325.5199890136719,287.5299987792969,295.3500061035156,295.3500061035156,3040100,0.0,0.0,327.3517496298956,327.3338842986122,321.693559934065,310.5976993312812,281.34782452737585,True,True,0.0,0.0,0.0,0.0,0.0,CL2-2025/08/22,False,False,False,False,False,True,False,0.0,0,0,False,False,,,,,,,,,,,FFIV
2025-10-16,FHB,23.950000762939453,23.950000762939453,22.645000457763672,22.770000457763672,22.770000457763672,1892000,0.0,0.0,24.09158549383054,24.520363079000564,24.798294009287613,24.805985789278765,24.52640784150893,False,False,25.26000022888184,24.88999938964844,25.07999992370605,22.645000457763672,22.645000457763672,CL1-2025/06/11,False,False,False,False,True,False,False,0.0,0,0,False,False,LL,LLHHLH,2025-10-27,2025-11-16,,,,,,,FHB
2025-10-15,FISI,27.6200008392334,27.770000457763672,26.82999992370605,26.979999542236328,26.979999542236328,87300,0.0,0.0,27.01915144754312,27.023736454451523,26.850443175294984,26.552264163455103,25.679839259873656,False,False,25.61000061035156,29.450000762939453,29.8799991607666,26.18000030517578,26.06999969482422,SB1-2025/10/15,False,False,False,False,False,False,True,0.71,5,2,True,False,LH,LHLLHH,2025-10-16,2025-10-27,1.0,2.0,27.74,29.8799991607666,32.01999832153321,34.15999748229981,FISI
2025-10-29,FWRG,17.59000015258789,17.631999969482422,16.889999389648438,17.059999465942383,17.059999465942383,952600,0.0,0.0,17.660544682148803,17.323739646938893,17.16267000804341,17.20399595783381,17.54365509511404,False,True,0.0,0.0,0.0,0.0,0.0,BY1-2025/10/06,True,False,False,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,FWRG
2025-10-20,GLRE,12.31999969482422,12.9399995803833,12.199999809265137,12.31999969482422,12.31999969482422,94200,0.0,0.0,12.468178170810535,12.574972567959795,12.77008911247686,13.038055157441375,13.21911578955362,False,False,11.56999969482422,13.18000030517578,13.270000457763672,11.859999656677246,11.859999656677246,SB1-2025/10/20,False,False,False,False,False,False,True,0.8,4,3,True,False,LH,LHLLHH,2025-11-04,2025-11-16,1.0,0.0,12.42,13.270000457763672,14.120000915527344,14.970001373291016,GLRE
2025-11-04,HEPS,2.509999990463257,2.5299999713897705,2.359999895095825,2.359999895095825,2.359999895095825,975700,0.0,0.0,2.5585927201034924,2.6194339968684304,2.6865317632306445,2.735245955940615,2.730247782939649,False,False,0.0,0.0,0.0,0.0,0.0,CL1-2025/07/09,False,False,False,False,True,False,False,0.0,0,0,False,False,,,,,,,,,,,HEPS
2025-10-15,IRBT,4.139999866485596,6.099999904632568,4.130000114440918,5.369999885559082,5.369999885559082,25762300,0.0,0.0,4.22591323421776,4.026035170955337,3.878029306373096,3.94365874219098,5.99733164528145,False,True,0.0,0.0,0.0,0.0,0.0,TP2-2025/08/27,False,True,True,False,False,False,False,0.0,0,0,False,False,,,,,,,,,,,IRBT
2025-10-13,LGO,2.319999933242798,2.700000047683716,2.2799999713897705,2.4600000381469727,2.4600000381469727,3767400,0.0,0.0,1.9148007579394224,1.7907372352281343,1.6576502137761062,1.5851600708230145,1.6920333016798068,False,True,1.25,1.090000033378601,1.0399999618530271,1.090000033378601,1.090000033378601,TP3-2025/06/05,False,False,True,True,False,False,False,0.0,0,0,False,False,HH,HHLHLL,2025-11-03,2025-11-07,,,,,,,LGO
