sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,TU1,BY1,TOTAL,WR
1286.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1302.HK,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,9.0,66.67
1310.HK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
1313.HK,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
1316.HK,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,75.0
1330.HK,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1345.HK,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
1359.HK,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,50.0
1361.HK,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
1368.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,33.33
1385.HK,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,100.0
1405.HK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1415.HK,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,75.0
1428.HK,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,80.0
1432.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,50.0
1448.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1456.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1458.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1477.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1478.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1508.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
1513.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1515.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
1516.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,50.0
1521.HK,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,33.33
1523.HK,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0
1541.HK,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1548.HK,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,60.0
1551.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1578.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,66.67
1579.HK,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,83.33
1600.HK,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,60.0
1606.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1610.HK,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
1611.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
1618.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,50.0
1640.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,100.0
1651.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,50.0
1660.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1666.HK,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,66.67
1672.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1681.HK,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,33.33
1686.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
1691.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1696.HK,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,25.0
1709.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1717.HK,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
1733.HK,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,50.0
1755.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1760.HK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
