sno,TP12,TP1,TP2,TP1C,CL1,BY1,,
3700.HK,1,0,1,0,0,0,2,
3759.HK,1,0,0,0,1,0,2,
3813.HK,6,0,0,0,2,0,8,
3818.HK,2,0,0,0,1,0,3,
3833.HK,2,0,1,0,6,0,9,
3866.HK,2,0,0,1,1,0,4,
3868.HK,2,0,0,0,0,0,2,
3877.HK,1,0,0,2,0,0,3,
3898.HK,6,0,0,0,3,0,9,
3899.HK,4,0,0,1,8,0,13,
3918.HK,3,0,0,4,0,0,7,
3931.HK,3,0,0,0,0,0,3,
3969.HK,4,1,1,1,1,0,8,
3983.HK,5,0,0,3,2,0,10,
3996.HK,1,0,1,0,2,0,4,
6055.HK,1,0,0,0,2,0,3,
6060.HK,0,1,0,0,1,0,2,
6110.HK,0,1,0,0,0,0,1,
6198.HK,2,0,0,1,3,0,6,
6288.HK,1,0,0,0,0,0,1,
6601.HK,2,0,0,0,1,0,3,
6616.HK,1,0,0,0,1,0,2,
6655.HK,1,0,0,0,0,0,1,
6676.HK,0,0,0,1,0,0,1,
6808.HK,2,0,0,1,5,0,8,
6858.HK,0,0,0,0,1,0,1,
6865.HK,0,1,0,0,3,0,4,
6868.HK,0,0,0,0,1,0,1,
6869.HK,0,0,0,0,2,0,2,
6889.HK,1,1,0,1,2,0,5,
6896.HK,2,0,0,0,2,0,4,
6963.HK,1,0,0,0,0,0,1,
6993.HK,2,0,0,0,1,0,3,
8137.HK,2,0,0,0,4,0,6,
8279.HK,0,0,0,1,2,0,3,
8299.HK,0,0,0,1,3,0,4,
9638.HK,1,0,0,0,0,0,1,
9676.HK,1,0,0,0,0,0,1,
9858.HK,0,0,0,0,1,0,1,
9879.HK,0,0,0,1,0,0,1,
9890.HK,1,0,0,0,0,0,1,
9898.HK,1,0,0,0,2,0,3,
9911.HK,3,0,0,0,1,0,4,
9933.HK,0,0,0,0,0,1,1,
9956.HK,0,0,0,0,1,0,1,
9996.HK,2,0,0,1,0,0,3,
9997.HK,2,0,0,1,0,0,3,
,932,46,120,277,980,45,2400,0.572916667
