code,Stock Code,Name of Securities
00769,769,CHINA RAREEARTH
00770,770,SHANGHAI GROWTH
00771,771,AUTOMATED SYS
00772,772,CHINA LIT
00775,775,CKLIFE SCIENCES
00776,776,IMPERIUM TEC GP
00777,777,NETDRAGON
00780,780,TONGCHENGTRAVEL
00784,784,LING YUI
00788,788,CHINA TOWER
00789,789,ARTINI HLDG
00794,794,COME SURE GROUP
00797,797,7ROAD
00798,798,CEOVU
00799,799,IGG
00800,800,WERIDE-W
00804,804,PINESTONE
00805,805,NEW GONOW RV
00806,806,VALUE PARTNERS
00807,807,SIICENVIRONMENT
00809,809,GLOBAL BIO-CHEM
00810,810,CH CASTSON 81
00811,811,XINHUA WINSHARE
00813,813,SHIMAO GROUP
00814,814,JINGKELONG
00815,815,CHI SILVER GP
00816,816,JINMAO SERVICES
00817,817,CHINA JINMAO
00818,818,HI SUN TECH
00819,819,TIANNENG POWER
00821,821,VC HOLDINGS
00822,822,KA SHUI INT'L
00825,825,NWDS CHINA
00826,826,TIANGONG INT'L
00827,827,KO YO GROUP
00828,828,DYNASTY WINES
00829,829,SHENGUAN HLDGS
00830,830,CSC DEVELOPMENT
00831,831,CR ASIA
00832,832,CENTRAL CHINA
00833,833,ALLTRONICS
00834,834,KANGDA FOOD
00836,836,CHINA RES POWER
00837,837,CARPENTER TAN
00838,838,EVA HOLDINGS
00839,839,CHINA EDU GROUP
00840,840,TIANYE WATER
00841,841,CASSAVA RES
00842,842,LEOCH INT'L
00844,844,GREATIME INTL
00845,845,GLORIOUS PPT H
00846,846,MINGFA GROUP
00848,848,MAOYE INT'L
00851,851,SHENG YUAN HLDG
00852,852,STRONG PETRO
00853,853,MICROPORT
00854,854,WILLAS-ARRAY
00855,855,CHINA WATER
00856,856,VSTECS
00857,857,PETROCHINA
00858,858,EXTRAWELL PHAR
00859,859,ZHONGCHANG INTL
00860,860,APOLLO FMG
00861,861,DC HOLDINGS
00862,862,VISION VALUES
00863,863,OSL GROUP
00864,864,WING LEE PPT
00865,865,JIANDE INT'L
00866,866,CHINA QINFA
00867,867,CMS
00868,868,XINYI GLASS
00869,869,PLAYMATES TOYS
00871,871,CH DREDG ENV
00873,873,SHIMAO SERVICES
00874,874,BAIYUNSHAN PH
00875,875,CONGYU INTE AGR
00876,876,KAISA HEALTH
00878,878,SOUNDWILL HOLD
00880,880,SJM HOLDINGS
00881,881,ZHONGSHENG HLDG
00882,882,TIANJIN DEV
00883,883,CNOOC
00884,884,CIFI HOLD GP
00887,887,EMPEROR WATCH&J
00888,888,BLOCKFIN HLDG
00889,889,DATRONIX HOLD
00893,893,CHINAVTM MINING
00894,894,MAN YUE TECH
00895,895,DONGJIANG ENV
00896,896,HANISON
00897,897,WAI YUEN TONG
00898,898,MULTIFIELD INTL
00899,899,ZHONG JIA GX
00900,900,AEON CREDIT
00902,902,HUANENG POWER
00905,905,WALNUT CAP
00907,907,ELEGANCEOPTICAL
00909,909,MING YUAN CLOUD
00910,910,CHINA SANDI
00911,911,QIANHAI HEALTH
00912,912,SUGA INT'L
00913,913,HARBOUR DIGITAL
00914,914,CONCH CEMENT
00915,915,DAOHE GLOBAL
00916,916,CHINA LONGYUAN
00917,917,QUNABOX GROUP
00918,918,MAJESTIC DRAGON
00919,919,MODERNHEALTHTEC
00921,921,HISENSE HA
00922,922,ANXIANYUAN CH
00923,923,IWS
00924,924,KHOON GROUP
00926,926,BESUNYEN
00927,927,FUJIKON IND
00928,928,KING INTL INV
00929,929,IPE GROUP
00931,931,CHINA HK POWER
00932,932,SHUNTEN INTL
00933,933,VIVA GOODS
00934,934,SINOPEC KANTONS
00936,936,KAISA CAPITAL
00938,938,MAN SANG INT'L
00939,939,CCB
00941,941,CHINA MOBILE
00943,943,ZHONGZHENG INTL
00945,945,MANULIFE-S
00947,947,MOBI DEV
00948,948,ALPHA PRO HLDGS
00950,950,LEE'S PHARM
00951,951,CHAOWEI POWER
00952,952,QUAM PLUS FIN
00953,953,SHAW BROTHERS
00954,954,CHANGMAO BIO
00956,956,CHINA SUNTIEN
00959,959,CENTURY ENT INT
00960,960,LONGFOR GROUP
00966,966,CHINA TAIPING
00968,968,XINYI SOLAR
00969,969,HUA LIEN INT'L
00970,970,NEW SPARKLEROLL
00974,974,SKL
00975,975,MONGOL MINING
00976,976,CHIHO ENV
00978,978,CHI MER LAND
00979,979,GREEN ENERGY GP
00980,980,LIANHUA
00981,981,SMIC
00983,983,SOCAM DEV
00984,984,AEON STORES
00986,986,DUFU LIQUOR GP
00987,987,CH RENEW EN INV
00989,989,CHINA CBS INTL
00990,990,DEEP SOURCE
00991,991,DATANG POWER
00992,992,LENOVO GROUP
00993,993,XINKONG INT CAP
00994,994,CT VISION
00995,995,ANHUIEXPRESSWAY
00997,997,CHINLINK INTL
00998,998,CITIC BANK
00999,999,XIAOCAIYUAN
01000,1000,BEIJING MEDIA
01001,1001,HK SH ALLIANCE
01002,1002,V.S. INT'L
01003,1003,HUANXI MEDIA
01004,1004,C SMARTERENERGY
01005,1005,MATRIX HOLDINGS
01007,1007,LONGHUI INTL
01008,1008,LITU HOLDINGS
01009,1009,INT'L ENT
01010,1010,SKY BLUE 11
01011,1011,NT PHARMA
01013,1013,WAI CHUN GROUP
01020,1020,CIPRUN TECH
01021,1021,HUAYAN ROBOTICS
01022,1022,FEIYU
01023,1023,SITOY GROUP
01024,1024,KUAISHOU-W
01025,1025,KNT HOLDINGS
01026,1026,UNIVERSAL TECH
01027,1027,ASIA STRAT TECH
01028,1028,C.BANNER
01029,1029,IRC
01030,1030,SEAZEN
01033,1033,SINOPEC SSC
01036,1036,VANKE OVERSEAS
01037,1037,MAXNERVA TECH
01038,1038,CKI HOLDINGS
01039,1039,CHANGYOU INT GP
01044,1044,HENGAN INT'L
01045,1045,APT SATELLITE
01046,1046,UNIVERSE ENT
01047,1047,NGAI HING HONG
01049,1049,CELESTIAL ASIA
01050,1050,KARRIE INT'L
01051,1051,G-RESOURCES
01052,1052,YUEXIUTRANSPORT
01053,1053,CHONGQING IRON
01055,1055,CHINA SOUTH AIR
01057,1057,ZHEJIANG SHIBAO
01058,1058,NAMYUE HOLDINGS
01059,1059,KANTONE HOLDING
01060,1060,DAMAI ENT
01061,1061,ESSEX BIO-TECH
01062,1062,CDB INT'L INV
01063,1063,SUNCORP TECH
01064,1064,ZHONG HUA INT'L
01065,1065,TIANJIN CAPITAL
01066,1066,WEIGAO GROUP
01068,1068,YURUN FOOD
01069,1069,CN HEALTH TECH
01070,1070,TCL ELECTRONICS
01071,1071,HUADIAN POWER
01072,1072,DONGFANG ELEC
01073,1073,DA YU FIN
